community_id,size,internal_edges,external_edges,internal_density,conductance,modularity_contrib
0,353,2851,30,0.04588913211434458,0.010413051023950017,0.03124566639815972
1,401,5869,400,0.07317955112219451,0.0638060296698038,0.061468247795379495
2,423,7045,692,0.07893292102226256,0.08944035155745121,0.07215544424595423
3,423,11422,635,0.12797328941324101,0.05266650078792403,0.11077855490755871
4,537,8696,242,0.06042413630173157,0.027075408368762585,0.08829466141551948
5,390,16200,517,0.21356535495352977,0.030926601662977806,0.1477068009139423
6,61,440,134,0.24043715846994534,0.23344947735191637,0.004944419202344114
7,38,520,37,0.7396870554765291,0.06642728904847396,0.005853568840760162
13,548,5356,22,0.03573573172847249,0.004090740052063964,0.05698644006365011
9,73,1486,124,0.5654490106544902,0.07701863354037267,0.016508422898520544
10,237,16543,453,0.5915397268111278,0.02665333019534008,0.15038601675480842
11,25,260,13,0.8666666666666667,0.047619047619047616,0.002937101669794955
12,60,205,2,0.11581920903954802,0.00966183574879227,0.0023178635319427835
14,206,1983,3,0.09391427894861473,0.0015105740181268882,0.021967449568350787
15,226,5600,147,0.22025565388397247,0.025578562728380026,0.05922520881516302
16,19,136,13,0.7953216374269005,0.087248322147651,0.001538504261127377
8,19,129,27,0.7543859649122807,0.17307692307692307,0.0014588955272883091
